title,album_id,positive,negative,neutral
пьеса,3,0.0980893224477768,0.04604391008615494,0.771853506565094
прыгну со скалы,3,0.18714269995689392,0.3923468291759491,0.12253321707248688
сапоги,3,0.1520422399044037,0.18714269995689392,0.14805719256401062
камнем по голове,3,0.16452647745609283,0.1824355274438858,0.1732981950044632
дед на свадьбе,4,0.0695517510175705,0.2509227991104126,0.3276783227920532
запрет отца,4,0.1520422399044037,0.4378334879875183,0.12253321707248688
кузнец,4,0.16027602553367615,0.3702353835105896,0.1968362182378769
разговор с гоблином,4,0.1259327530860901,0.20182321965694427,0.11597072333097458
"вор, граф и графиня",4,0.0695517510175705,0.2509227991104126,0.26285186409950256
что видел малыш,4,0.19194278120994568,0.287777841091156,0.16886694729328156
невеста палача,4,0.21207880973815918,0.3557848632335663,0.040855713188648224
мастер приглашает в гости,4,0.15611489117145538,0.1732981950044632,0.20182321965694427
бродяга и старик,4,0.08510905504226685,0.29422497749328613,0.20182321965694427
смерть халдея,4,0.09535945951938629,0.3140605390071869,0.06372499465942383
помнят с горечью древляне,4,0.09269777685403824,0.3415925204753876,0.1520422399044037
про ивана,4,0.11921291798353195,0.3415925204753876,0.1824355274438858
воспоминания о былой любви,4,0.0980893224477768,0.04604391008615494,0.771853506565094
камнем по голове,5,0.16452647745609283,0.1824355274438858,0.1732981950044632
два вора и монета,5,0.22816647589206696,0.21734751760959625,0.06372499465942383
сапоги мертвеца,5,0.1520422399044037,0.18714269995689392,0.14805719256401062
садовник,5,0.13661839067935944,0.14805719256401062,0.20690405368804932
два друга и разбойники,5,0.05501529201865196,0.275139719247818,0.1732981950044632
дурак и молния,5,0.1520422399044037,0.21734751760959625,0.22271016240119934
охотник,5,0.1097157895565033,0.4378334879875183,0.13661839067935944
песня мушкетёров,5,0.16452647745609283,0.09535945951938629,0.1520422399044037
тяни,5,0.1778208613395691,0.523430347442627,0.09535945951938629
мотоцикл (live),5,0.1732981950044632,0.320831298828125,0.15611489117145538
смельчак и ветер,5,0.16886694729328156,0.1824355274438858,0.15611489117145538
кукла колдуна,5,0.07586817443370819,0.3557848632335663,0.1778208613395691
от женщин кругом голова,5,0.21734751760959625,0.18714269995689392,0.1097157895565033
любовь и пропеллер (live),5,0.21734751760959625,0.320831298828125,0.07808816432952881
наблюдатель,5,0.38492217659950256,0.20690405368804932,0.07586817443370819
валет и дама (live),5,0.13661839067935944,0.23935934901237488,0.07808816432952881
ведьма и осёл,5,0.1778208613395691,0.3629792034626007,0.08510905504226685
отец и маски,5,0.15611489117145538,0.2509227991104126,0.16452647745609283
лесник,5,0.1732981950044632,0.1778208613395691,0.20690405368804932
забытые ботинки,5,0.0980893224477768,0.275139719247818,0.14415885508060455
король и шут,5,0.13297423720359802,0.4225146472454071,0.031153826043009758
прыгну со скалы,5,0.18714269995689392,0.3923468291759491,0.12253321707248688
собрание,5,0.10375863313674927,0.30736804008483887,0.287777841091156
ели мясо мужики (studio bonus track),5,0.06372499465942383,0.16886694729328156,0.3007555902004242
рыбак (version 2) (bonus track),5,0.08510905504226685,0.23935934901237488,0.33459946513175964
гимн шута,6,0.275139719247818,0.16452647745609283,0.13661839067935944
проклятый старый дом,6,0.1067005917429924,0.5000100135803223,0.16027602553367615
тайна хозяйки старинных часов,6,0.051855459809303284,0.3775506913661957,0.3557848632335663
кузьма и барин,6,0.05835584178566933,0.1732981950044632,0.16452647745609283
пират,6,0.14805719256401062,0.3276783227920532,0.15611489117145538
скотный двор,6,0.15611489117145538,0.14805719256401062,0.16886694729328156
возвращение колдуна,6,0.16452647745609283,0.287777841091156,0.15611489117145538
зловещий кузен,6,0.23371636867523193,0.320831298828125,0.07160120457410812
ответ - лютая месть!,6,0.16452647745609283,0.38492217659950256,0.12253321707248688
рогатый,6,0.07370626926422119,0.22816647589206696,0.24509501457214355
двухголовый отпрыск,6,0.1732981950044632,0.30736804008483887,0.08270734548568726
два монаха в одну ночь,6,0.1520422399044037,0.2568419873714447,0.20690405368804932
кто это всё придумал?,6,0.05501529201865196,0.4532718360424042,0.275139719247818
пивной череп,6,0.1968362182378769,0.2689514458179474,0.07808816432952881
парень и леший,6,0.13661839067935944,0.24509501457214355,0.1097157895565033
похороны панка,6,0.10375863313674927,0.3923468291759491,0.06561483442783356
воспоминания о былой любви,6,0.0980893224477768,0.04604391008615494,0.771853506565094
волоскрад,7,0.14415885508060455,0.287777841091156,0.16027602553367615
мёртвый анархист,7,0.07586817443370819,0.3629792034626007,0.11597072333097458
смешной совет,7,0.3276783227920532,0.4765896201133728,0.027595279738307
некромант,7,0.12253321707248688,0.2689514458179474,0.13661839067935944
защитник свиней,7,0.08036746829748154,0.4921981394290924,0.1520422399044037
генрих и смерть,7,0.08757384121417999,0.40734341740608215,0.1259327530860901
"жаль, нет ружья!",7,0.07160120457410812,0.4301573634147644,0.20182321965694427
представляю я,7,0.22816647589206696,0.585111141204834,0.06755668669939041
мой характер,7,0.1732981950044632,0.30736804008483887,0.1259327530860901
песенка пьяного деда,7,0.08270734548568726,0.4532718360424042,0.18714269995689392
водяной,7,0.16452647745609283,0.348655104637146,0.1097157895565033
вдова и горбун,7,0.19194278120994568,0.275139719247818,0.09010298550128937
вино хоббитов,7,0.1259327530860901,0.3557848632335663,0.1520422399044037
разборки из-за баб,7,0.1097157895565033,0.348655104637146,0.1067005917429924
утопленник,7,0.1732981950044632,0.3415925204753876,0.14034625887870789
медведь,7,0.13297423720359802,0.3998216390609741,0.08270734548568726
пьянка,7,0.16452647745609283,0.30736804008483887,0.1824355274438858
лесник,8,0.1732981950044632,0.1778208613395691,0.20690405368804932
волосокрад,8,0.13661839067935944,0.3007555902004242,0.1294127255678177
ели мясо мужики,8,0.06372499465942383,0.16886694729328156,0.3007555902004242
мёртвый анархист,8,0.07586817443370819,0.3629792034626007,0.11597072333097458
защитник свиней,8,0.08036746829748154,0.4921981394290924,0.1520422399044037
проклятый старый дом,8,0.1067005917429924,0.5000100135803223,0.16027602553367615
"он не знает, что такое жить!",8,0.1968362182378769,0.275139719247818,0.09535945951938629
песенка пьяного деда,8,0.08270734548568726,0.4532718360424042,0.18714269995689392
смерть халдея,8,0.09535945951938629,0.3140605390071869,0.06372499465942383
некромант,8,0.12253321707248688,0.2689514458179474,0.13661839067935944
кузьма и барин,8,0.05835584178566933,0.1732981950044632,0.16452647745609283
представляю я,8,0.22816647589206696,0.585111141204834,0.06755668669939041
мария,8,0.30736804008483887,0.16886694729328156,0.1520422399044037
пьянка,8,0.16452647745609283,0.30736804008483887,0.1824355274438858
от женщин кругом голова,8,0.21734751760959625,0.18714269995689392,0.1097157895565033
разборки из-за баб,8,0.1097157895565033,0.348655104637146,0.1067005917429924
садовник,8,0.13661839067935944,0.14805719256401062,0.20690405368804932
запрет отца,8,0.1520422399044037,0.4378334879875183,0.12253321707248688
кто это всё придумал?,8,0.05501529201865196,0.4532718360424042,0.275139719247818
мастер приглашает в гости,8,0.15611489117145538,0.1732981950044632,0.20182321965694427
злодей и шапка,8,0.20182321965694427,0.22816647589206696,0.24509501457214355
парень и леший,8,0.13661839067935944,0.24509501457214355,0.1097157895565033
проказник скоморох,8,0.1520422399044037,0.23371636867523193,0.12253321707248688
паника в селе,8,0.09535945951938629,0.5698626637458801,0.042097724974155426
прыгну со скалы,8,0.18714269995689392,0.3923468291759491,0.12253321707248688
скотный двор,8,0.15611489117145538,0.14805719256401062,0.16886694729328156
шар голубой,8,0.3140605390071869,0.23935934901237488,0.09010298550128937
гимн шута,8,0.275139719247818,0.16452647745609283,0.13661839067935944
похороны панка,8,0.10375863313674927,0.3923468291759491,0.06561483442783356
воспоминание о былой любви,8,0.3007555902004242,0.23935934901237488,0.061885979026556015
камнем по голове,8,0.16452647745609283,0.1824355274438858,0.1732981950044632
хардкор по-русски,9,0.07808816432952881,0.2509227991104126,0.05835584178566933
волшебный глаз старика алонса,9,0.13297423720359802,0.30736804008483887,0.16027602553367615
исповедь вампира,9,0.3007555902004242,0.3702353835105896,0.028446035459637642
месть гарри,9,0.10088862478733063,0.3923468291759491,0.06009664759039879
северный флот,9,0.16452647745609283,0.3998216390609741,0.1732981950044632
идол,9,0.11280541121959686,0.2814156115055084,0.1294127255678177
бунт на корабле!,9,0.10088862478733063,0.2814156115055084,0.053413331508636475
хороший пират - мёртвый пират,9,0.15611489117145538,0.4688006341457367,0.11597072333097458
рыцарь,9,0.2689514458179474,0.26285186409950256,0.11280541121959686
звонок,9,0.05835584178566933,0.30736804008483887,0.11921291798353195
инквизитор,9,0.1067005917429924,0.3140605390071869,0.11921291798353195
задира и солдат,9,0.1732981950044632,0.3557848632335663,0.11280541121959686
раненый воин,9,0.07586817443370819,0.4301573634147644,0.09010298550128937
хозяин леса,9,0.13661839067935944,0.4688006341457367,0.15611489117145538
милое дело,10,0.24509501457214355,0.4765896201133728,0.06561483442783356
жизнь,10,0.11597072333097458,0.3775506913661957,0.14034625887870789
деньги,10,0.05501529201865196,0.7931159734725952,0.11280541121959686
квартира,10,0.13297423720359802,0.26285186409950256,0.11597072333097458
